KECAMATAN;Nasdem;PKB;PKS;PDIP;Golkar;Gerindra;Demokrat;PAN;PPP;Hanura;PBB;PKPI
LEMAHSUGIH;1064;2684;1909;10335;4001;3072;1152;665;5354;434;528;136
BANTARUJEG;482;1559;983;10212;6110;1004;1784;496;2834;632;220;134
MALAUSMA;544;2323;1074;8834;4223;638;751;700;1200;1007;494;803
CINGAMBUL;2364;992;1695;5605;1928;768;395;950;2864;282;1738;389
CIKIJING;504;1723;6055;8774;2443;338;2026;4002;5561;592;1243;1585
TALAGA;529;1965;1412;9731;1688;2560;1976;1957;1890;349;1149;47
BANJARAN;506;1288;1028;7641;1168;667;506;764;1578;325;319;105
ARGAPURA;1178;1511;791;8473;2089;2324;1347;1208;1618;351;169;150
MAJA;729;2436;1069;8724;4422;690;3508;1254;2846;2194;899;400
CIGASONG;460;678;1607;8703;3727;540;727;753;1558;524;198;676
SUKAHAJI;691;1842;1599;8422;2885;2496;1228;653;2316;891;155;250
SINDANG;289;302;1363;4237;1300;284;228;189;829;94;44;83
MAJALENGKA;983;2044;4766;16316;4347;2745;2531;1548;2439;1708;560;255
PANYINGKIRAN;568;1070;1129;7181;1748;655;3890;934;1003;238;140;48
KADIPATEN;1035;2121;1830;6334;2552;1381;1824;5899;659;972;491;208
DAWUAN;594;1508;3510;5520;3400;2178;1456;2159;1734;2405;337;1474
KASOKANDEL;662;2461;2187;6580;2474;3936;1930;2584;2633;2184;323;367
KERTAJATI;2343;1237;747;9417;2031;3275;2880;1026;2180;676;83;58
JATITUJUH;1919;3139;1600;10260;4556;3499;2852;874;1134;887;196;64
LIGUNG;2791;3651;1692;11742;3293;4039;1978;1591;762;2957;86;126
JATIWANGI;2730;2824;4820;18766;2702;3369;3587;4678;1703;1531;174;120
SUMBERJAYA;832;9662;1187;13341;1399;1744;951;1259;449;407;247;69
PALASAH;3181;2642;1173;12256;1509;1205;1622;1768;762;404;452;54
LEUWIMUNDING;666;7400;1583;9910;1294;1815;1387;2975;2281;674;2301;52
RAJAGALUH;536;1436;855;9860;2993;4371;775;297;1829;1609;99;42
SINDANGWANGI;977;2545;1186;7009;2649;1413;1171;248;949;361;84;36
