KECAMATAN;Paslon1;Paslon2;Paslon3;Paslon4
ARGAPURA;684;13786;1762;4725
KADIPATEN;1113;10651;5154;7609
SINDANG;270;4652;763;3309
CIGASONG;1077;10408;2818;5356
RAJAGALUH;1138;10525;2575;8222
KERTAJATI;1298;13965;2698;7314
BANJARAN;671;10095;956;4393
SUKAHAJI;898;12994;2813;6561
MAJA;963;17296;3656;6218
LEUWIMUNDING;2254;12910;8987;5033
PALASAH;1560;14309;4061;5998
JATITUJUH;1567;20341;2828;4650
SINDANGWANGI;665;9437;1753;5436
LEMAHSUGIH;1028;19549;2211;5482
LIGUNG;1392;26570;2212;4489
DAWUAN;1132;9317;3310;11819
CIKIJING;713;15140;7640;9040
MALAUSMA;451;17009;619;4774
SUMBERJAYA;3146;16217;4539;4233
PANYINGKIRAN;688;9932;1534;5797
KASOKANDEL;2197;12860;4027;8209
BANTARUJEG;821;15634;2239;6455
CINGAMBUL;741;10313;2826;4807
TALAGA;613;14372;2039;8004
MAJALENGKA;1706;20823;5929;12437
JATIWANGI;3360;25443;5248;12495
